Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,ORDCHG,,Bestelländerung,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,,ORDCHG,,Bestelländerung,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,20B,,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,,20B,,Ausgabe 2020 - B,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.0,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,,1.0,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z57,,Übermittlung von Werten an ESA,X,,,Beginn der Nachricht,8,,BGM,1001,,Z57,,Übermittlung von Werten an ESA,X,
Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,
Beginn der Nachricht,10,,BGM,1225,,,,,1,,,Beginn der Nachricht,10,,BGM,1225,,,,,1,
Nachrichtendatum,11,,DTM,,,,,,Muss,,,Nachrichtendatum,11,,DTM,,,,,,Muss,
Nachrichtendatum,12,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,12,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,13,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,13,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,14,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,14,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
Nachrichtennummer der Anfrage/Bestellung,15,SG1,,,,,,,Muss,,,Nachrichtennummer der Anfrage/Bestellung,15,SG1,,,,,,,Muss,
Nachrichtennummer der Anfrage/Bestellung,16,SG1,RFF,,,,,,Muss,,,Nachrichtennummer der Anfrage/Bestellung,16,SG1,RFF,,,,,,Muss,
Nachrichtennummer der Anfrage/Bestellung,17,SG1,RFF,1153,,ON,,Auftragsnummer (Einkauf),X,,,Nachrichtennummer der Anfrage/Bestellung,17,SG1,RFF,1153,,ON,,Auftragsnummer (Einkauf),X,
Nachrichtennummer der Anfrage/Bestellung,18,SG1,RFF,1154,,,,Nachrichtennummer,X [500],[500] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS,,Nachrichtennummer der Anfrage/Bestellung,18,SG1,RFF,1154,,,,Nachrichtennummer,X [500],[500] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS
Prüfidentifikator,19,SG1,,,,,,,Muss,,,Prüfidentifikator,19,SG1,,,,,,,Muss,
Prüfidentifikator,20,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,20,SG1,RFF,,,,,,Muss,
Prüfidentifikator,21,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,21,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,
Prüfidentifikator,22,SG1,RFF,1154,,39002,,Stornierung der Bestellung für ESA,X,,,Prüfidentifikator,22,SG1,RFF,1154,,39002,,Stornierung der Bestellung für ESA,X,
MP-ID Absender,23,SG3,,,,,,,Muss,,,MP-ID Absender,23,SG3,,,,,,,Muss,
MP-ID Absender,24,SG3,NAD,,,,,,Muss,,,MP-ID Absender,24,SG3,NAD,,,,,,Muss,
