Segmentname_FV2210,Unnamed: 0_FV2210,Segmentgruppe_FV2210,Segment_FV2210,Datenelement_FV2210,Segment ID_FV2210,Code_FV2210,Qualifier_FV2210,Beschreibung_FV2210,Bedingungsausdruck_FV2210,Bedingung_FV2210,diff,Segmentname_FV2304,Unnamed: 0_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten- Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten- Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,ORDRSP,,Bestellantwort,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,,ORDRSP,,Bestellantwort,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,10A,,Ausgabe 2010 - A,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,,10A,,Ausgabe 2010 - A,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.2a,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschrei bung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,,1.2b,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschrei bung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z51,,Sperrung,X,,,Beginn der Nachricht,8,,BGM,1001,,Z51,,Sperrung,X,
Beginn der Nachricht,9,,BGM,1001,,Z52,,Entsperrung,X,,,Beginn der Nachricht,9,,BGM,1001,,Z52,,Entsperrung,X,
Beginn der Nachricht,10,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,10,,BGM,1004,,,,Dokumentennummer,X,
Nachrichtendatum,11,,DTM,,,,,,Muss,,,Nachrichtendatum,11,,DTM,,,,,,Muss,
Nachrichtendatum,12,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/- zeit,X,,,Nachrichtendatum,12,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/- zeit,X,
Nachrichtendatum,13,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,13,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,14,,DTM,2379,,303,,CCYYMMDDHHMMZ ZZ,X,,,Nachrichtendatum,14,,DTM,2379,,303,,CCYYMMDDHHMM ZZZ,X,
Referenz Nachrichtennummer,15,SG1,,,,,,,Muss,,,Referenz Nachrichtennummer,15,SG1,,,,,,,Muss,
Referenz Nachrichtennummer,16,SG1,RFF,,,,,,Muss,,,Referenz Nachrichtennummer,16,SG1,RFF,,,,,,Muss,
Referenz Nachrichtennummer,17,SG1,RFF,1153,,ON,,Auftragsnummer (Einkauf),X,,,Referenz Nachrichtennummer,17,SG1,RFF,1153,,ON,,Auftragsnummer (Einkauf),X,
Referenz Nachrichtennummer,18,SG1,RFF,1154,,,,Referenz Nachrichtennummer,X [529],[529] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS,,Referenz Nachrichtennummer,18,SG1,RFF,1154,,,,Referenz Nachrichtennummer,X [529],[529] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS
Prüfidentifikator,19,SG1,,,,,,,Muss,,,Prüfidentifikator,19,SG1,,,,,,,Muss,
Prüfidentifikator,20,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,20,SG1,RFF,,,,,,Muss,
Prüfidentifikator,21,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,21,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,
Prüfidentifikator,22,SG1,RFF,1154,,19116,,Bestätigung Sperr-/ Entsperrauftrag,X,,,Prüfidentifikator,22,SG1,RFF,1154,,19116,,Bestätigung Sperr-/ Entsperrauftrag,X,
Einzelheiten zu einer Anpassung/Änderung,23,SG2,,,,,,,Muss,,,Einzelheiten zu einer Anpassung/Änderung,23,SG2,,,,,,,Muss,
