Segmentname_FV2210,Unnamed: 0_FV2210,Segmentgruppe_FV2210,Segment_FV2210,Datenelement_FV2210,Segment ID_FV2210,Code_FV2210,Qualifier_FV2210,Beschreibung_FV2210,Bedingungsausdruck_FV2210,Bedingung_FV2210,diff,Segmentname_FV2304,Unnamed: 0_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,REQOTE,,Anfrage,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,,REQOTE,,Anfrage,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,10A,,Ausgabe 2010 - A,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,,10A,,Ausgabe 2010 - A,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.2,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,,1.2,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z57,,Übermittlung von Werten an ESA,X,,,Beginn der Nachricht,8,,BGM,1001,,Z57,,Übermittlung von Werten an ESA,X,
Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,
Nachrichtendatum,10,,DTM,,,,,,Muss,,,Nachrichtendatum,10,,DTM,,,,,,Muss,
Nachrichtendatum,11,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,11,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,12,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,12,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,13,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,13,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
Datum zum geplanten Leistungsbeginn,14,,DTM,,,,,,Muss,,,Datum zum geplanten Leistungsbeginn,14,,DTM,,,,,,Muss,
Datum zum geplanten Leistungsbeginn,15,,DTM,2005,,76,,"Lieferdatum/-zeit, geplant",X,,,Datum zum geplanten Leistungsbeginn,15,,DTM,2005,,76,,"Lieferdatum/-zeit, geplant",X,
Datum zum geplanten Leistungsbeginn,16,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,,Datum zum geplanten Leistungsbeginn,16,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00
Datum zum geplanten Leistungsbeginn,17,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Datum zum geplanten Leistungsbeginn,17,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
Allgemeine Information (Feld für allgemeine Hinweise),18,,FTX,,,,,,Kann,,,Allgemeine Information (Feld für allgemeine Hinweise),18,,FTX,,,,,,Kann,
Allgemeine Information (Feld für allgemeine Hinweise),19,,FTX,4451,,(für allgemeine Hinweise),,,ACB,,,Allgemeine Information (Feld für allgemeine Hinweise),19,,FTX,4451,,(für allgemeine Hinweise),,,ACB,
Allgemeine Information (Feld für allgemeine Hinweise),20,,FTX,4440,,,,Freier Text,X,,,Allgemeine Information (Feld für allgemeine Hinweise),20,,FTX,4440,,,,Freier Text,X,
Prüfidentifikator,21,SG1,,,,,,,Muss,,,Prüfidentifikator,21,SG1,,,,,,,Muss,
Prüfidentifikator,22,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,22,SG1,RFF,,,,,,Muss,
