Segmentname_FV2304,Unnamed: 0_FV2304,Segmentgruppe_FV2304,Segment_FV2304,Datenelement_FV2304,Segment ID_FV2304,Code_FV2304,Qualifier_FV2304,Beschreibung_FV2304,Bedingungsausdruck_FV2304,Bedingung_FV2304,diff,Segmentname_FV2310,Unnamed: 0_FV2310,Segmentgruppe_FV2310,Segment_FV2310,Datenelement_FV2310,Segment ID_FV2310,Code_FV2310,Qualifier_FV2310,Beschreibung_FV2310,Bedingungsausdruck_FV2310,Bedingung_FV2310
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,ORDCHG,,Bestelländerung,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,00001,ORDCHG,,Bestelländerung,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,20B,,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.0,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,00001,1.1,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,00002,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z51,,Sperrung,X,,,Beginn der Nachricht,8,,BGM,1001,00002,Z51,,Sperrung,X,
Beginn der Nachricht,9,,BGM,1001,,Z52,,Entsperrung,X,,,Beginn der Nachricht,9,,BGM,1001,,Z52,,Entsperrung,X,
Beginn der Nachricht,10,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,10,,BGM,1004,00002,,,Dokumentennummer,X,
Beginn der Nachricht,11,,BGM,1225,,1,,Aufhebung/Stornierung,X,,,Beginn der Nachricht,11,,BGM,1225,00002,1,,Aufhebung/Stornierung,X,
Nachrichtendatum,12,,DTM,,,,,,Muss,,,Nachrichtendatum,12,,DTM,,00003,,,,Muss,
Nachrichtendatum,13,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,13,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,14,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,14,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,15,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,15,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,
Nachrichtennummer der Anfrage/Bestellung,16,SG1,,,,,,,Muss,,,Nachrichtennummer der Anfrage/Bestellung,16,SG1,,,,,,,Muss,
Nachrichtennummer der Anfrage/Bestellung,17,SG1,RFF,,,,,,Muss,,,Nachrichtennummer der Anfrage/Bestellung,17,SG1,RFF,,00004,,,,Muss,
Nachrichtennummer der Anfrage/Bestellung,18,SG1,RFF,1153,,ON,,Auftragsnummer (Einkauf),X,,,Nachrichtennummer der Anfrage/Bestellung,18,SG1,RFF,1153,00004,ON,,Auftragsnummer (Einkauf),X,
Nachrichtennummer der Anfrage/Bestellung,19,SG1,RFF,1154,,,,Nachrichtennummer,X [500],[500] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS,,Nachrichtennummer der Anfrage/Bestellung,19,SG1,RFF,1154,00004,,,Nachrichtennummer,X [500],"[2] Wenn BGM+Z51 (Sperrung) vorhanden
[3] Wenn BGM+Z52 (Entsperrung) vorhanden
[500] Hinweis: Dokumentennummer aus BGM DE1004 der ORDERS
[501] Hinweis: Wert aus BGM+Z33 DE1004 der IFTSTA mit der die Information über den Entsperrauftrag übermittelt wurde"
Prüfidentifikator,20,SG1,,,,,,,Muss,,,Prüfidentifikator,20,SG1,,,,,,,Muss,
Prüfidentifikator,21,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,21,SG1,RFF,,00006,,,,Muss,
Prüfidentifikator,22,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,22,SG1,RFF,1153,00006,Z13,,Prüfidentifikator,X,
Prüfidentifikator,23,SG1,RFF,1154,,39000,,Stornierung Sperr-/ Entsperrauftrag,X,,,Prüfidentifikator,23,SG1,RFF,1154,00006,39000,,Stornierung Sperr-/ Entsperrauftrag,X,
MP-ID Absender,24,SG3,,,,,,,Muss,,,MP-ID Absender,24,SG3,,,,,,,Muss,
MP-ID Absender,25,SG3,NAD,,,,,,Muss,,,MP-ID Absender,25,SG3,NAD,,00007,,,,Muss,
MP-ID Absender,26,SG3,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,,MP-ID Absender,26,SG3,NAD,3035,00007,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,
MP-ID Absender,27,SG3,NAD,3039,,,,MP-ID,X [1],[1] MP-ID nur aus Sparte Strom,,MP-ID Absender,27,SG3,NAD,3039,00007,,,MP-ID,X,
MP-ID Absender,28,SG3,NAD,3055,,9,,GS1,X,,,MP-ID Absender,28,SG3,NAD,3055,00007,9,,GS1,X,
MP-ID Absender,29,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,MP-ID Absender,29,SG3,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
,,,,,,,,,,,NEW,MP-ID Absender,30,SG3,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
Ansprechpartner,30,SG6,,,,,,,Kann,,,Ansprechpartner,31,SG6,,,,,,,Kann,
Ansprechpartner,31,SG6,CTA,,,,,,Muss,,,Ansprechpartner,32,SG6,CTA,,00008,,,,Muss,
Ansprechpartner,32,SG6,CTA,3139,,IC,,Informationskontakt,X,,,Ansprechpartner,33,SG6,CTA,3139,00008,IC,,Informationskontakt,X,
Ansprechpartner,33,SG6,CTA,3412,,,,Kontakt,X,,,Ansprechpartner,34,SG6,CTA,3412,00008,,,Kontakt,X,
Kommunikationsverbindung,34,SG6,COM,,,,,,Muss,,,Kommunikationsverbindung,35,SG6,COM,,00009,,,,Muss,
