Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,REQOTE,,Anfrage,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,00001,REQOTE,,Anfrage,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,10A,,Ausgabe 2010 - A,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,00001,10A,,Ausgabe 2010 - A,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.2,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,00001,1.3,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,00002,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z57,,Übermittlung von Werten an ESA,X,,,Beginn der Nachricht,8,,BGM,1001,00002,Z57,,Übermittlung von Werten an ESA,X,
Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,00002,,,Dokumentennummer,X,
Nachrichtendatum,10,,DTM,,,,,,Muss,,,Nachrichtendatum,10,,DTM,,00003,,,,Muss,
Nachrichtendatum,11,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,11,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,12,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,12,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,13,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,13,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,
Datum zum geplanten Leistungsbeginn,14,,DTM,,,,,,Muss,,,Datum zum geplanten Leistungsbeginn,14,,DTM,,00004,,,,Muss,
Datum zum geplanten Leistungsbeginn,15,,DTM,2005,,76,,"Lieferdatum/-zeit, geplant",X,,,Datum zum geplanten Leistungsbeginn,15,,DTM,2005,00004,76,,"Lieferdatum/-zeit, geplant",X,
Datum zum geplanten Leistungsbeginn,16,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,,Datum zum geplanten Leistungsbeginn,16,,DTM,2380,00004,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00
Datum zum geplanten Leistungsbeginn,17,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Datum zum geplanten Leistungsbeginn,17,,DTM,2379,00004,303,,CCYYMMDDHHMMZZZ,X,
Allgemeine Information (Feld für allgemeine Hinweise),18,,FTX,,,,,,Kann,,,Allgemeine Information (Feld für allgemeine Hinweise),18,,FTX,,00008,,,,Kann,
Allgemeine Information (Feld für allgemeine Hinweise),19,,FTX,4451,,(für allgemeine Hinweise),,,ACB,,,Allgemeine Information (Feld für allgemeine Hinweise),19,,FTX,4451,00008,(für allgemeine Hinweise),,,ACB,
Allgemeine Information (Feld für allgemeine Hinweise),20,,FTX,4440,,,,Freier Text,X,,,Allgemeine Information (Feld für allgemeine Hinweise),20,,FTX,4440,00008,,,Freier Text,X,
Prüfidentifikator,21,SG1,,,,,,,Muss,,,Prüfidentifikator,21,SG1,,,,,,,Muss,
Prüfidentifikator,22,SG1,RFF,,,,,,Muss,,,Prüfidentifikator,22,SG1,RFF,,00009,,,,Muss,
Prüfidentifikator,23,SG1,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,23,SG1,RFF,1153,00009,Z13,,Prüfidentifikator,X,
Prüfidentifikator,24,SG1,RFF,1154,,35003,,Anfrage von Werten für ESA,X,,,Prüfidentifikator,24,SG1,RFF,1154,00009,35003,,Anfrage von Werten für ESA,X,
MP-ID Absender,25,SG11,,,,,,,Muss,,,MP-ID Absender,25,SG11,,,,,,,Muss,
MP-ID Absender,26,SG11,NAD,,,,,,Muss,,,MP-ID Absender,26,SG11,NAD,,00014,,,,Muss,
MP-ID Absender,27,SG11,NAD,3035,,Nachrichtenaussteller bzw. -absender,,,MS,,,MP-ID Absender,27,SG11,NAD,3035,00014,Nachrichtenaussteller bzw. -absender,,,MS,
MP-ID Absender,28,SG11,NAD,3039,,,,MP-ID,X [10],[10] MP-ID nur aus Sparte Strom,,MP-ID Absender,28,SG11,NAD,3039,00014,,,MP-ID,X [10],[10] MP-ID nur aus Sparte Strom
MP-ID Absender,29,SG11,NAD,3055,,9,,GS1,X,,,MP-ID Absender,29,SG11,NAD,3055,00014,9,,GS1,X,
MP-ID Absender,30,SG11,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,MP-ID Absender,30,SG11,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
Ansprechpartner,31,SG14,,,,,,,Muss,,,Ansprechpartner,31,SG14,,,,,,,Muss,
Ansprechpartner,32,SG14,CTA,,,,,,Muss,,,Ansprechpartner,32,SG14,CTA,,00015,,,,Muss,
Ansprechpartner,33,SG14,CTA,3139,,,,,IC,,,Ansprechpartner,33,SG14,CTA,3139,00015,,,,IC,
Ansprechpartner,34,SG14,CTA,3412,,,,Kontakt,X,,,Ansprechpartner,34,SG14,CTA,3412,00015,,,Kontakt,X,
Kommunikationsverbindung,35,SG14,COM,,,,,,Muss,,,Kommunikationsverbindung,35,SG14,COM,,00016,,,,Muss,
Kommunikationsverbindung,36,SG14,COM,3148,,,,"Kommunikationsadresse, Identifikation",X,,,Kommunikationsverbindung,36,SG14,COM,3148,00016,,,"Kommunikationsadresse, Identifikation",X,
