Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,,COMDIS,,Handelsunstimmigkeit,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,,COMDIS,,Handelsunstimmigkeit,X,
Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,,17A,,Ausgabe 2017 - A,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,,17A,,Ausgabe 2017 - A,X,
Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,,1.0c,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,,1.0d,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,,,,,Muss,,,Beginn der Nachricht,7,,BGM,,,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,456,,Belastungsanzeige,X,,,Beginn der Nachricht,8,,BGM,1001,,456,,Belastungsanzeige,X,
Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,,,,Dokumentennummer,X,
Prüfidentifikator,10,,RFF,,,,,,Muss,,,Prüfidentifikator,10,,RFF,,,,,,Muss,
Prüfidentifikator,11,,RFF,1153,,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,11,,RFF,1153,,Z13,,Prüfidentifikator,X,
Prüfidentifikator,12,,RFF,1154,,29001,,Ablehnung REMADV,X,,,Prüfidentifikator,12,,RFF,1154,,29001,,Ablehnung REMADV,X,
Dokumentendatum,13,,DTM,,,,,,Muss,,,Dokumentendatum,13,,DTM,,,,,,Muss,
Dokumentendatum,14,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Dokumentendatum,14,,DTM,2005,,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Dokumentendatum,15,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00,,Dokumentendatum,15,,DTM,2380,,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931],[931] Format: ZZZ = +00
Dokumentendatum,16,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,,,Dokumentendatum,16,,DTM,2379,,303,,CCYYMMDDHHMMZZZ,X,
Währungsangaben,17,,CUX,,,,,,Muss,,,Währungsangaben,17,,CUX,,,,,,Muss,
Währungsangaben,18,,CUX,6347,,2,,Referenzwährung,X,,,Währungsangaben,18,,CUX,6347,,2,,Referenzwährung,X,
Währungsangaben,19,,CUX,6345,,EUR,,Euro,X,,,Währungsangaben,19,,CUX,6345,,EUR,,Euro,X,
Währungsangaben,20,,CUX,6343,,4,,Währung der Rechnung,X,,,Währungsangaben,20,,CUX,6343,,4,,Währung der Rechnung,X,
MP-ID Absender,21,SG1,,,,,,,Muss,,,MP-ID Absender,21,SG1,,,,,,,Muss,
MP-ID Absender,22,SG1,NAD,,,,,,Muss,,,MP-ID Absender,22,SG1,NAD,,,,,,Muss,
MP-ID Absender,23,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,,MP-ID Absender,23,SG1,NAD,3035,,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,
MP-ID Absender,24,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom,,MP-ID Absender,24,SG1,NAD,3039,,,,MP-ID,X,[3] Nur MP-ID aus Sparte Strom
MP-ID Absender,25,SG1,NAD,3055,,9,,GS1,X,,,MP-ID Absender,25,SG1,NAD,3055,,9,,GS1,X,
MP-ID Absender,26,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,MP-ID Absender,26,SG1,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
MP-ID Absender,27,SG1,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,,,MP-ID Absender,27,SG1,NAD,3055,,332,,"DE, DVGW Service & Consult GmbH",X,
