Segmentname_old,Unnamed: 0_old,Segmentgruppe_old,Segment_old,Datenelement_old,Segment ID_old,Code_old,Qualifier_old,Beschreibung_old,Bedingungsausdruck_old,Bedingung_old,diff,Segmentname_new,Unnamed: 0_new,Segmentgruppe_new,Segment_new,Datenelement_new,Segment ID_new,Code_new,Qualifier_new,Beschreibung_new,Bedingungsausdruck_new,Bedingung_new
Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss,,,Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss,
Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,00001,PARTIN,,Partnerstammdaten,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,00001,PARTIN,,Partnerstammdaten,X,
Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,
Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,00001,1.0d,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,,,Nachrichten-Kopfsegment,6,,UNH,0057,00001,1.0e,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,X,
Beginn der Nachricht,7,,BGM,,00002,,,,Muss,,,Beginn der Nachricht,7,,BGM,,00002,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,00002,10,,Partnerstammdaten,X,,,Beginn der Nachricht,8,,BGM,1001,00002,10,,Partnerstammdaten,X,
Beginn der Nachricht,9,,BGM,1004,00002,,,Dokumentennummer,X,,,Beginn der Nachricht,9,,BGM,1004,00002,,,Dokumentennummer,X,
Beginn der Nachricht,10,,BGM,1373,00002,11,,Dokument nicht verfügbar,S [9],[9] Wenn die Kommunikationsdaten vom Absender nicht mehr aktiv sind.,,Beginn der Nachricht,10,,BGM,1373,00002,11,,Dokument nicht verfügbar,S [9],[9] Wenn die Kommunikationsdaten vom Absender nicht mehr aktiv sind.
Nachrichtendatum,11,,DTM,,00003,,,,Muss,,,Nachrichtendatum,11,,DTM,,00003,,,,Muss,
Nachrichtendatum,12,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,12,,DTM,2005,00003,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,13,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931][494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00",,Nachrichtendatum,13,,DTM,2380,00003,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931][494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt.
[931] Format: ZZZ = +00"
Nachrichtendatum,14,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,14,,DTM,2379,00003,303,,CCYYMMDDHHMMZZZ,X,
Prüfidentifikator,15,SG1,,,,,,,Muss,,,Prüfidentifikator,15,SG1,,,,,,,Muss,
Prüfidentifikator,16,SG1,RFF,,00004,,,,Muss,,,Prüfidentifikator,16,SG1,RFF,,00004,,,,Muss,
Prüfidentifikator,17,SG1,RFF,1153,00004,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,17,SG1,RFF,1153,00004,Z13,,Prüfidentifikator,X,
Prüfidentifikator,18,SG1,RFF,1154,,37002,,Übermittlung Kommunikationsdaten des MSB,X,,,Prüfidentifikator,18,SG1,RFF,1154,,37002,,Übermittlung Kommunikationsdaten des MSB,X,
Versionsnummer,19,SG1,,,,,,,Muss,,,Versionsnummer,19,SG1,,,,,,,Muss,
Versionsnummer,20,SG1,RFF,,00005,,,,Muss,,,Versionsnummer,20,SG1,RFF,,00005,,,,Muss,
Versionsnummer,21,SG1,RFF,1153,00005,AGK,,Anwendungsreferenznu mmer,X,,,Versionsnummer,21,SG1,RFF,1153,00005,AGK,,Anwendungsreferenznu mmer,X,
Versionsnummer,22,SG1,RFF,1056,00005,,,Versionsnummer,X [908][505],"[505] Wenn eine Vorgängerversion (RFF+ACW) angegeben ist, so muss der Wert in diesem DE1056 mindestens um 1 höher sein, als der Wert aus DE1056 der Vorgängerversion (RFF+ACW).
[908] Format: Mögliche Werte: 1 bis n",,Versionsnummer,22,SG1,RFF,1056,00005,,,Versionsnummer,X [908][505],"[505] Wenn eine Vorgängerversion (RFF+ACW) angegeben ist, so muss der Wert in diesem DE1056 mindestens um 1 höher sein, als der Wert aus DE1056 der Vorgängerversion (RFF+ACW).
[908] Format: Mögliche Werte: 1 bis n"
Gültig Ab,23,SG1,DTM,,00006,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden,,Gültig Ab,23,SG1,DTM,,00006,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden
Gültig Ab,24,SG1,DTM,2005,00006,157,,"Gültigkeit, Beginndatum",X,,,Gültig Ab,24,SG1,DTM,2005,00006,157,,"Gültigkeit, Beginndatum",X,
Gültig Ab,25,SG1,DTM,2380,00006,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],,,Gültig Ab,25,SG1,DTM,2380,00006,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1],
Gültig Ab,26,SG1,DTM,2379,00006,303,,CCYYMMDDHHMMZZZ,X,,,Gültig Ab,26,SG1,DTM,2379,00006,303,,CCYYMMDDHHMMZZZ,X,
Vorgängerversion,27,SG1,,,,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden,,Vorgängerversion,27,SG1,,,,,,,Soll [4],[4] Wenn Vorgängerversion vorhanden
Vorgängerversion,28,SG1,RFF,,00007,,,,Muss,,,Vorgängerversion,28,SG1,RFF,,00007,,,,Muss,
Vorgängerversion,29,SG1,RFF,1153,00007,ACW,,Referenznummer einer vorangegangenen Nachricht,X,,,Vorgängerversion,29,SG1,RFF,1153,00007,ACW,,Referenznummer einer vorangegangenen Nachricht,X,
Vorgängerversion,30,SG1,RFF,1056,00007,,,Versionsnummer,X [908],[908] Format: Mögliche Werte: 1 bis n,,Vorgängerversion,30,SG1,RFF,1056,00007,,,Versionsnummer,X [908],[908] Format: Mögliche Werte: 1 bis n
MP-ID Absender,31,SG2,,,,,,,Muss,,,MP-ID Absender,31,SG2,,,,,,,Muss,
MP-ID Absender,32,SG2,NAD,,00008,,,,Muss,,,MP-ID Absender,32,SG2,NAD,,00008,,,,Muss,
MP-ID Absender,33,SG2,NAD,3035,00008,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,,MP-ID Absender,33,SG2,NAD,3035,00008,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,
MP-ID Absender,34,SG2,NAD,3039,00008,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom,,MP-ID Absender,34,SG2,NAD,3039,00008,,,MP-ID,X [1],[1] Nur MP-ID aus Sparte Strom
MP-ID Absender,35,SG2,NAD,3055,00008,9,,GS1,X,,,MP-ID Absender,35,SG2,NAD,3055,00008,9,,GS1,X,
MP-ID Absender,36,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,MP-ID Absender,36,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
Ansprechpartner,37,SG3,,,,,,,Kann,,,Ansprechpartner,37,SG3,,,,,,,Kann,
Ansprechpartner,38,SG3,CTA,,00009,,,,Muss,,,Ansprechpartner,38,SG3,CTA,,00009,,,,Muss,
Ansprechpartner,39,SG3,CTA,3139,00009,IC,,Informationskontakt,X,,,Ansprechpartner,39,SG3,CTA,3139,00009,IC,,Informationskontakt,X,
