Segmentname_FV2410,Unnamed: 0_FV2410,Segmentgruppe_FV2410,Segment_FV2410,Datenelement_FV2410,Segment ID_FV2410,Code_FV2410,Qualifier_FV2410,Beschreibung_FV2410,Bedingungsausdruck_FV2410,Bedingung_FV2410,diff,Segmentname_FV2504,Unnamed: 0_FV2504,Segmentgruppe_FV2504,Segment_FV2504,Datenelement_FV2504,Segment ID_FV2504,Code_FV2504,Qualifier_FV2504,Beschreibung_FV2504,Bedingungsausdruck_FV2504,Bedingung_FV2504
Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss [14],"[12] je UNB ist nur eine Nachricht mit BGM+Z04 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)
[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt",,Nachrichten-Kopfsegment,0,,UNH,,00001,,,,Muss [14],"[12] je UNB ist nur eine Nachricht mit BGM+Z04 in der Übertragungsdatei erlaubt (nur eine Nachricht je Übertragungsdatei)
[14] je UNB ist maximal je Code aus DE1001 eine Nachricht in der Übertragungsdatei erlaubt"
Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,,,Nachrichten-Kopfsegment,1,,UNH,0062,00001,,,Nachrichten-Referenznummer,X,
Nachrichten-Kopfsegment,2,,UNH,0065,00001,PRICAT,,Preisliste/Katalog,X,,,Nachrichten-Kopfsegment,2,,UNH,0065,00001,PRICAT,,Preisliste/Katalog,X,
Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,,,Nachrichten-Kopfsegment,3,,UNH,0052,00001,D,,Entwurfs-Version,X,
Nachrichten-Kopfsegment,4,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,,,Nachrichten-Kopfsegment,4,,UNH,0054,00001,20B,,Ausgabe 2020 - B,X,
Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,,,Nachrichten-Kopfsegment,5,,UNH,0051,00001,UN,,UN/CEFACT,X,
Nachrichten-Kopfsegment,6,,UNH,0057,00001,2.0c,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,x,,,Nachrichten-Kopfsegment,6,,UNH,0057,00001,2.0d,,Versionsnummer der zugrundeliegenden BDEW- Nachrichtenbeschreibung,x,
Beginn der Nachricht,7,,BGM,,00002,,,,Muss,,,Beginn der Nachricht,7,,BGM,,00002,,,,Muss,
Beginn der Nachricht,8,,BGM,1001,,Z32,,Preisblatt Messstellenbetrieb,X [30] ⊻ ([36] ∧ [33]),,,Beginn der Nachricht,8,,BGM,1001,,Z32,,Preisblatt Messstellenbetrieb,X [30] ⊻ ([36] ∧ [33]),
Beginn der Nachricht,9,,BGM,1001,,Z77,,Preisblatt Konfigurationen,X,"[30] wenn MP-ID in SG2 NAD+MR in der Rolle LF
[33] wenn der Zeitpunkt im DTM+157 DE2380 ≥ 01.01. 2024 00:00 Uhr gesetzlicher deutscher Zeit
[36] wenn MP-ID in SG2 NAD+MR in der Rolle NB",,Beginn der Nachricht,9,,BGM,1001,,Z77,,Preisblatt Konfigurationen,X,"[30] wenn MP-ID in SG2 NAD+MR in der Rolle LF
[33] wenn der Zeitpunkt im DTM+157 DE2380 ≥ 01.01. 2024 00:00 Uhr gesetzlicher deutscher Zeit
[36] Wenn MP-ID in SG2 NAD+MR in der Rolle NB"
Beginn der Nachricht,10,,BGM,1004,00002,,,Dokumentennummer,X,,,Beginn der Nachricht,10,,BGM,1004,00002,,,Dokumentennummer,X,
Beginn der Nachricht,11,,BGM,1373,00002,11,,Dokument nicht verfügbar,S [35],[35] Wenn das in DE1001 angegebene Preisblatt vom MSB nicht genutzt wird.,,Beginn der Nachricht,11,,BGM,1373,00002,11,,Dokument nicht verfügbar,S [35],[35] Wenn das in DE1001 angegebene Preisblatt vom MSB nicht genutzt wird.
Nachrichtendatum,12,,DTM,,00004,,,,Muss,,,Nachrichtendatum,12,,DTM,,00004,,,,Muss,
Nachrichtendatum,13,,DTM,2005,00004,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,,,Nachrichtendatum,13,,DTM,2005,00004,137,,Dokumenten-/ Nachrichtendatum/-zeit,X,
Nachrichtendatum,14,,DTM,2380,00004,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00",,Nachrichtendatum,14,,DTM,2380,00004,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [931] [494],"[494] Das hier genannte Datum muss der Zeitpunkt sein, zu dem das Dokument erstellt wurde, oder ein Zeitpunkt, der davor liegt
[931] Format: ZZZ = +00"
Nachrichtendatum,15,,DTM,2379,00004,303,,CCYYMMDDHHMMZZZ,X,,,Nachrichtendatum,15,,DTM,2379,00004,303,,CCYYMMDDHHMMZZZ,X,
Gültigkeitsbeginn,16,,DTM,,00005,,,,Muss,,,Gültigkeitsbeginn,16,,DTM,,00005,,,,Muss,
Gültigkeitsbeginn,17,,DTM,2005,00005,157,,"Gültigkeit, Beginndatum",X,,,Gültigkeitsbeginn,17,,DTM,2005,00005,157,,"Gültigkeit, Beginndatum",X,
Gültigkeitsbeginn,18,,DTM,2380,00005,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1] ∧ ([43] ⊻ [47] ⊻ [44]),"[43] Wenn BGM DE1001 = Z32 und LIN DE7140 im Format n1-n2-n1-n3, dann muss der hier genannte Zeitpunkt ≥ 01. 01.2024 00:00 Uhr gesetzlicher deutscher Zeit sein
[44] Wenn BGM DE1001 = Z77, dann muss der hier genannte Zeitpunkt ≥ 01.10. 2023 00:00 Uhr gesetzlicher deutscher Zeit sein.
[47] Wenn BGM DE1001 = Z32 und LIN DE7140 im Format n13, dann muss der hier genannte Zeitpunkt < 01.01. 2024 00:00 Uhr gesetzlicher deutscher Zeit sein",,Gültigkeitsbeginn,18,,DTM,2380,00005,,,"Datum oder Uhrzeit oder Zeitspanne, Wert",X [UB1] ∧ ([43] ⊻ [47] ⊻ [44]),"[43] Wenn BGM DE1001 = Z32 und LIN DE7140 im Format n1-n2-n1-n3, dann muss der hier genannte Zeitpunkt ≥ 01.01.2024 00:00 Uhr gesetzlicher deutscher Zeit sein
[44] Wenn BGM DE1001 = Z77, dann muss der hier genannte Zeitpunkt ≥ 01.10. 2023 00:00 Uhr gesetzlicher deutscher Zeit sein.
[47] Wenn BGM DE1001 = Z32 und LIN DE7140 im Format n13, dann muss der hier genannte Zeitpunkt < 01.01. 2024 00:00 Uhr gesetzlicher deutscher Zeit sein"
Gültigkeitsbeginn,19,,DTM,2379,00005,303,,CCYYMMDDHHMMZZZ,X,,,Gültigkeitsbeginn,19,,DTM,2379,00005,303,,CCYYMMDDHHMMZZZ,X,
Vorgängerversion,20,SG1,,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden ,,Vorgängerversion,20,SG1,,,,,,,Soll [1],[1] Wenn Vorgängerversion vorhanden 
Vorgängerversion,21,SG1,RFF,,00006,,,,Muss,,,Vorgängerversion,21,SG1,RFF,,00006,,,,Muss,
Vorgängerversion,22,SG1,RFF,1153,00006,ACW,,Referenznummer einer vorangegangenen Nachricht,X,,,Vorgängerversion,22,SG1,RFF,1153,00006,ACW,,Referenznummer einer vorangegangenen Nachricht,X,
Vorgängerversion,23,SG1,RFF,1154,00006,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT,,Vorgängerversion,23,SG1,RFF,1154,00006,,,"Referenz, Identifikation",X [504],[504] Hinweis: Dokumentennummer der PRICAT
Prüfidentifikator,24,SG1,,,,,,,Muss,,,Prüfidentifikator,24,SG1,,,,,,,Muss,
Prüfidentifikator,25,SG1,RFF,,00007,,,,Muss,,,Prüfidentifikator,25,SG1,RFF,,00008,,,,Muss,
Prüfidentifikator,26,SG1,RFF,1153,00007,Z13,,Prüfidentifikator,X,,,Prüfidentifikator,26,SG1,RFF,1153,00008,Z13,,Prüfidentifikator,X,
Prüfidentifikator,27,SG1,RFF,1154,,27002,,Preisblatt MSB- Leistungen,X,,,Prüfidentifikator,27,SG1,RFF,1154,,27002,,Preisblatt MSB- Leistungen,X,
Empfänger-ID,28,SG2,,,,,,,Muss,,,Empfänger-ID,28,SG2,,,,,,,Muss,
Empfänger-ID,29,SG2,NAD,,00008,,,,Muss,,,Empfänger-ID,29,SG2,NAD,,00009,,,,Muss,
Empfänger-ID,30,SG2,NAD,3035,00008,MR,,Nachrichtenempfänger,X,,,Empfänger-ID,30,SG2,NAD,3035,00009,MR,,Nachrichtenempfänger,X,
Empfänger-ID,31,SG2,NAD,3039,00008,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,,Empfänger-ID,31,SG2,NAD,3039,00009,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom
Empfänger-ID,32,SG2,NAD,3055,00008,9,,GS1,X,,,Empfänger-ID,32,SG2,NAD,3055,00009,9,,GS1,X,
Empfänger-ID,33,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Empfänger-ID,33,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
Sender-ID,34,SG2,,,,,,,Muss,,,Sender-ID,34,SG2,,,,,,,Muss,
Sender-ID,35,SG2,NAD,,00009,,,,Muss,,,Sender-ID,35,SG2,NAD,,00010,,,,Muss,
Sender-ID,36,SG2,NAD,3035,00009,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,,,Sender-ID,36,SG2,NAD,3035,00010,MS,,Dokumenten-/ Nachrichtenaussteller bzw. -absender,X,
Sender-ID,37,SG2,NAD,3039,00009,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom,,Sender-ID,37,SG2,NAD,3039,00010,,,"Beteiligter, Identifikation",X [19],[19] Nur MP-ID aus Sparte Strom
Sender-ID,38,SG2,NAD,3055,00009,9,,GS1,X,,,Sender-ID,38,SG2,NAD,3055,00010,9,,GS1,X,
Sender-ID,39,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,,,Sender-ID,39,SG2,NAD,3055,,293,,"DE, BDEW (Bundesverband der Energie- und Wasserwirtschaft e.V.)",X,
Ansprechpartner,40,SG4,,,,,,,Kann,,,Ansprechpartner,40,SG4,,,,,,,Kann,
Ansprechpartner,41,SG4,CTA,,00011,,,,Muss,,,Ansprechpartner,41,SG4,CTA,,00012,,,,Muss,
Ansprechpartner,42,SG4,CTA,3139,00011,IC,,Informationskontakt,X,,,Ansprechpartner,42,SG4,CTA,3139,00012,IC,,Informationskontakt,X,
Ansprechpartner,43,SG4,CTA,3412,00011,,,Kontakt,X,,,Ansprechpartner,43,SG4,CTA,3412,00012,,,Kontakt,X,
Kommunikationsverbindung,44,SG4,COM,,00012,,,,Muss,,REMOVED,,,,,,,,,,,
Kommunikationsverbindung,45,SG4,COM,3148,00012,,,"Kommunikationsadresse, Identifikation",X (([939][37]) ∨ ([940][38])) ∧ [519],"[37] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[38] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[519] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen",REMOVED,,,,,,,,,,,
Kommunikationsverbindung,46,SG4,COM,3155,00012,EM,,E-Mail,X [1P0..1],,REMOVED,,,,,,,,,,,
Kommunikationsverbindung,47,SG4,COM,3155,,FX,,Telefax,X [1P0..1],,REMOVED,,,,,,,,,,,
Kommunikationsverbindung,48,SG4,COM,3155,,TE,,Telefon,X [1P0..1],,REMOVED,,,,,,,,,,,
Kommunikationsverbindung,49,SG4,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],,REMOVED,,,,,,,,,,,
Kommunikationsverbindung,50,SG4,COM,3155,,AL,,Handy,X [1P0..1],,REMOVED,,,,,,,,,,,
,,,,,,,,,,,NEW,Kommunikationsverbindun g,44,SG4,COM,,00013,,,,Muss,
,,,,,,,,,,,NEW,Kommunikationsverbindun g,45,SG4,COM,3148,00013,,,"Kommunikationsadresse, Identifikation",X (([939][37]) ∨ ([940][38])) ∧ [519],"[37] Wenn im DE3155 in demselben COM der Code EM vorhanden ist
[38] Wenn im DE3155 in demselben COM der Code TE / FX / AJ / AL vorhanden ist
[519] Hinweis: Es darf nur eine Information im DE3148 übermittelt werden
[939] Format: Die Zeichenkette muss die Zeichen @ und . enthalten
[940] Format: Die Zeichenkette muss mit dem Zeichen + beginnen und danach dürfen nur noch Ziffern folgen"
,,,,,,,,,,,NEW,Kommunikationsverbindun g,46,SG4,COM,3155,00013,EM,,E-Mail,X [1P0..1],
,,,,,,,,,,,NEW,Kommunikationsverbindun g,47,SG4,COM,3155,,FX,,Telefax,X [1P0..1],
,,,,,,,,,,,NEW,Kommunikationsverbindun g,48,SG4,COM,3155,,TE,,Telefon,X [1P0..1],
,,,,,,,,,,,NEW,Kommunikationsverbindun g,49,SG4,COM,3155,,AJ,,weiteres Telefon,X [1P0..1],
,,,,,,,,,,,NEW,Kommunikationsverbindun g,50,SG4,COM,3155,,AL,,Handy,X [1P0..1],
Währungsangaben,51,SG6,,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Währungsangaben,51,SG6,,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
Währungsangaben,52,SG6,CUX,,00013,,,,Muss,,,Währungsangaben,52,SG6,CUX,,00014,,,,Muss,
Währungsangaben,53,SG6,CUX,6347,00013,2,,Referenzwährung,X,,,Währungsangaben,53,SG6,CUX,6347,00014,2,,Referenzwährung,X,
Währungsangaben,54,SG6,CUX,6345,00013,EUR,,Euro,X,,,Währungsangaben,54,SG6,CUX,6345,00014,EUR,,Euro,X,
Währungsangaben,55,SG6,CUX,6343,00013,8,,Währung der Preisliste,X,,,Währungsangaben,55,SG6,CUX,6343,00014,8,,Währung der Preisliste,X,
Produktgruppen- Information,56,SG17,,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden,,Produktgruppen- Information,56,SG17,,,,,,,Muss [9],[9] Wenn BGM DE1373 =11 nicht vorhanden
Produktgruppen- Information,57,SG17,PGI,,00014,,,,Muss,,,Produktgruppen- Information,57,SG17,PGI,,00015,,,,Muss,
Produktgruppen- Information,58,SG17,PGI,5379,00014,9,,keine Gruppe genutzt,X,,,Produktgruppen- Information,58,SG17,PGI,5379,00015,9,,keine Gruppe genutzt,X,
Positionsdaten,59,SG36,,,,,,,Muss,,,Positionsdaten,59,SG36,,,,,,,Muss,
Positionsdaten,60,SG36,LIN,,00015,,,,Muss,,,Positionsdaten,60,SG36,LIN,,00016,,,,Muss,
Positionsdaten,61,SG36,LIN,1082,00015,,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend",,Positionsdaten,61,SG36,LIN,1082,00016,,,Positionsnummer,X [911],"[911] Format: Mögliche Werte: 1 bis n, je Nachricht oder Segmentgruppe bei 1 beginnend und fortlaufend aufsteigend"
